Date,MthPrcRet,TB3MS,UNRATE,GDP,INDPRO,CORESTICKM159SFRBATL,SPASTT01USM661N,LBSSA17,EMVHOUSELANDMGMT
1990/1/31,-0.068817,0.1,-0.1,0.727676667,0.91947,0.30357,-2.63318,-0.3,-100
1990/2/28,0.008539,0.16,-0.1,0.727676667,0.4758,5.53486,2.03699,-0.2,0
1990/3/30,0.024255,-0.13,0.2,0.495666667,-0.23533,1.64019,-0.34927,-0.3,235.19641
1990/4/30,-0.026887,-0.03,0,0.495666667,0.301,-2.08494,3.08913,-0.2,40.67502
1990/5/31,0.091989,-0.01,-0.2,0.495666667,0.33047,3.94893,2.78545,-0.1,16.67063
1990/6/29,-0.008886,-0.11,0.3,0.308096667,-0.16636,2.72091,-0.01216,-0.1,-31.00902
1990/7/31,-0.005223,-0.17,0.2,0.308096667,0.36137,5.79634,-7.73325,0.1,-43.68679
1990/8/31,-0.094314,-0.09,0.2,0.308096667,0.03165,1.58399,-4.53203,0,111.96177
1990/9/28,-0.051184,-0.19,0,-0.05754,-0.62007,-2.2057,-2.98599,0,-49.06109
1990/10/31,-0.006698,-0.11,0.3,-0.05754,-1.24612,-1.96017,2.4782,-0.1,37.65198
1990/11/30,0.059934,-0.32,0.1,-0.05754,-0.7018,-0.54125,4.26983,0,90.30526
1990/12/31,0.024828,-0.52,0.1,0.169006667,-0.3276,2.93483,-0.90303,0,-41.97237
1991/1/31,0.041518,-0.28,0.2,0.169006667,-0.72169,0.76054,11.12779,0,66.27208
1991/2/28,0.067281,-0.03,0.2,0.169006667,-0.56931,-6.57788,2.94195,0,-58.3529
1991/3/28,0.022203,-0.26,-0.1,0.506386667,0.26349,-3.53048,2.03732,-0.1,203.67769
1991/4/30,0.000346,-0.19,0.2,0.506386667,0.99445,-1.0166,-0.37532,-0.1,-20.55441
1991/5/31,0.038577,0.11,0,0.506386667,0.80895,-5.49681,0.18469,-0.1,-15.94469
1991/6/28,-0.047893,0.01,-0.1,0.43021,0.26299,-4.52159,0.47142,-0.1,-47.93584
1991/7/31,0.044859,-0.25,0.1,0.43021,0.02106,-6.79773,2.41967,-0.1,37.87852
1991/8/30,0.019649,-0.11,0,0.43021,0.82675,1.17708,-0.3669,0,33.85807
1991/9/30,-0.019144,-0.23,0.1,0.31477,-0.10266,-3.4741,0.25876,0.1,-26.71662
1991/10/31,0.01186,-0.43,0,0.31477,-0.13541,1.37814,0.07085,0.1,76.02562
1991/11/29,-0.043928,-0.49,0.3,0.31477,-0.46298,-0.07805,0.47524,0.1,-62.54457
1991/12/31,0.111588,-0.27,0,0.524443333,-0.51933,-6.79429,7.03558,0.2,8.30307
1992/1/31,-0.0199,0.04,0.1,0.524443333,0.71573,-4.71089,-0.53256,0.1,-48.79021
1992/2/28,0.009565,0.2,0,0.524443333,0.83821,2.89642,-1.27423,0.1,352.29163
1992/3/31,-0.021832,-0.29,0,0.563986667,0.77215,2.18093,-0.29434,0.2,-37.36453
1992/4/30,0.027893,-0.12,0.2,0.563986667,0.32528,-3.42565,1.8074,0,-0.31857
1992/5/29,0.000964,0.03,0.2,0.563986667,0.05971,-1.57496,-1.71942,0.1,2.59431
1992/6/30,-0.017359,-0.45,-0.1,0.493903333,0.89784,-2.33489,1.55461,0,111.89836
1992/7/31,0.039374,-0.08,-0.1,0.493903333,-0.54769,-3.72475,0.83372,-0.1,-87.34002
1992/8/31,-0.023998,-0.22,0,0.493903333,0.31708,-7.70463,0.02545,-0.1,220.1275
1992/9/30,0.009106,-0.05,-0.3,0.579503333,0.68483,8.66297,-1.37274,-0.1,75.08535
1992/10/30,0.002106,0.27,0.1,0.579503333,0.38264,-0.15178,2.58536,-0.2,-41.30073
1992/11/30,0.030262,0.09,0,0.579503333,0.14563,-4.16162,2.84988,0,-100
1992/12/31,0.010108,-0.22,-0.1,0.242766667,0.40207,1.42461,0.08228,-0.1,0
1993/1/29,0.007046,-0.07,-0.2,0.242766667,0.46947,0.93909,1.56065,0,-47.18285
1993/2/26,0.010484,0.02,-0.1,0.242766667,-0.08779,-6.35376,1.93368,0.1,-7.76585
1993/3/31,0.018697,-0.08,0.1,0.393693333,0.2915,2.05824,-1.36885,0.1,98.34515
1993/4/30,-0.025417,0.09,0,0.393693333,-0.38533,3.77697,0.52921,0.1,57.88943
1993/5/28,0.022717,0.11,-0.1,0.393693333,0.22358,0.90098,0.46668,0.1,-1.4401
1993/6/30,0.000755,-0.03,-0.1,0.358153333,0.25325,-4.08499,0.27785,0,1.19602
1993/7/30,-0.005327,-0.02,-0.1,0.358153333,-0.10811,2.49321,1.6458,0,-33.78551
1993/8/31,0.034432,-0.07,-0.1,0.358153333,0.52083,3.78398,1.16303,0,153.48633
1993/9/30,-0.009988,0.07,0.1,0.637596667,0.73714,-6.09176,1.04703,0,-100
1993/10/29,0.019393,0.08,-0.2,0.637596667,0.46713,0.34381,-0.62143,0,0
1993/11/30,-0.012911,-0.04,-0.1,0.637596667,0.57769,3.27121,0.70262,0,0
1993/12/31,0.010091,-0.08,0.1,0.484353333,0.31851,-4.87517,1.69902,0,-51.28616
1994/1/31,0.032501,0.27,0,0.484353333,0.05182,1.19021,-0.05361,-0.1,107.2147
1994/2/28,-0.030045,0.25,-0.1,0.484353333,1.01247,4.50203,-1.77217,0,-4.08849
1994/3/31,-0.045746,0.18,-0.1,0.614976667,0.5837,-6.00109,-3.63458,-0.1,67.61071
1994/4/29,0.011531,0.46,-0.3,0.614976667,0.46997,-3.74429,0.64229,-0.1,-11.80467
1994/5/31,0.012419,0,0,0.614976667,0.66939,-0.94385,0.66011,0,62.23583
1994/6/30,-0.026812,0.19,0,0.387033333,0.12046,1.18908,-0.76315,0,15.92403
1994/7/29,0.031467,0.15,-0.1,0.387033333,0.66938,2.25481,2.72423,0,-64.26521
1994/8/31,0.037643,0.14,-0.1,0.387033333,0.29814,-1.55633,0.59389,0,65.41928
1994/9/30,-0.026898,0.33,-0.1,0.56478,0.81742,-2.70788,-0.92663,0.1,48.21154
1994/10/31,0.020834,0.34,-0.2,0.56478,0.66844,-1.15289,-1.07288,0,-16.40229
1994/11/30,-0.039505,0.31,-0.1,0.56478,1.00033,-7.20643,-1.5158,0.1,-27.14368
1994/12/30,0.012299,0.11,0.1,0.299566667,0.18962,8.36933,1.97501,0.1,-28.59673
1995/1/31,0.024278,0.06,-0.2,0.299566667,-0.12038,-0.63238,3.27329,0,-42.29144
1995/2/28,0.036074,-0.04,0,0.299566667,0.13864,1.42633,1.88874,0.1,-13.10301
1995/3/31,0.027329,-0.08,0.4,0.26015,-0.17787,4.34713,2.83542,0,98.24111
1995/4/28,0.02796,0.02,-0.2,0.26015,0.48073,1.34104,2.70823,0,-49.97227
1995/5/31,0.036312,-0.2,0,0.26015,0.33369,-0.6059,2.73804,0,-100
1995/6/30,0.021279,-0.05,0.1,0.449053333,-0.41412,1.64391,2.98929,0,0
